ID|Order Quantity|Sales|Ship Mode|Profit|Unit Price|Customer Name|Province|Customer Segment|Product Category|Product Sub-Category|Product Name
1|6|261.54|Regular Air|-213.25|38.94|Muhammed MacIntyre|Nunavut|Small Business|Office Supplies|Storage & Organization|Eldon Base for stackable storage shelf, platinum
2|49|10123.02|Delivery Truck|457.81|208.16|Barry French|Nunavut|Consumer|Office Supplies|Appliances|"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
3|27|244.57|Regular Air|46.71|8.69|Barry French|Nunavut|Consumer|Office Supplies|Binders and Binder Accessories|Cardinal Slant-D? Ring Binder, Heavy Gauge Vinyl
4|30|4965.7595|Regular Air|1198.97|195.99|Clay Rozendal|Nunavut|Corporate|Technology|Telephones and Communication|R380
5|19|394.27|Regular Air|30.94|21.78|Carlos Soltero|Nunavut|Consumer|Office Supplies|Appliances|Holmes HEPA Air Purifier
6|21|146.69|Regular Air|4.43|6.64|Carlos Soltero|Nunavut|Consumer|Furniture|Office Furnishings|G.E. Longer-Life Indoor Recessed Floodlight Bulbs
7|12|93.54|Regular Air|-54.04|7.3|Carl Jackson|Nunavut|Corporate|Office Supplies|Binders and Binder Accessories|Angle-D Binders with Locking Rings, Label Holders
8|22|905.08|Regular Air|127.7|42.76|Carl Jackson|Nunavut|Corporate|Office Supplies|Storage & Organization|SAFCO Mobile Desk Side File, Wire Frame
9|21|2781.82|Express Air|-695.26|138.14|Monica Federle|Nunavut|Corporate|Office Supplies|Storage & Organization|SAFCO Commercial Wire Shelving, Black
10|44|228.41|Regular Air|-226.36|4.98|Dorothy Badders|Nunavut|Home Office|Office Supplies|Paper|Xerox 198
11|45|196.85|Regular Air|-166.85|4.28|Neola Schneider|Nunavut|Home Office|Office Supplies|Paper|Xerox 1980
12|32|124.56|Regular Air|-14.33|3.95|Neola Schneider|Nunavut|Home Office|Office Supplies|Rubber Bands|Advantus Map Pennant Flags and Round Head Tacks
13|32|716.84|Regular Air|134.72|21.78|Carlos Daly|Nunavut|Home Office|Office Supplies|Appliances|Holmes HEPA Air Purifier
14|31|1474.33|Regular Air|114.46|47.98|Carlos Daly|Nunavut|Home Office|Technology|Computer Peripherals|DS/HD IBM Formatted Diskettes, 200/Pack - Staples
15|15|80.61|Regular Air|-4.72|5.28|Claudia Miner|Nunavut|Small Business|Office Supplies|Binders and Binder Accessories|"Wilson Jones 1"" Hanging DublLock? Ring Binders"
16|46|1815.49|Regular Air|782.91|39.89|Neola Schneider|Nunavut|Home Office|Furniture|Office Furnishings|Ultra Commercial Grade Dual Valve Door Closer
17|16|248.26|Regular Air|93.8|15.74|Allen Rosenblatt|Nunavut|Small Business|Office Supplies|Envelopes|"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
18|44|4462.23|Delivery Truck|440.72|100.98|Sylvia Foulston|Nunavut|Home Office|Furniture|Bookcases|Hon 4-Shelf Metal Bookcases
19|11|663.784|Regular Air|-481.04|71.37|Sylvia Foulston|Nunavut|Home Office|Furniture|Tables|Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table
20|15|834.904|Regular Air|-11.68|65.99|Jim Radford|Nunavut|Corporate|Technology|Telephones and Communication|g520
21|18|2480.9205|Regular Air|313.58|155.99|Jim Radford|Nunavut|Corporate|Technology|Telephones and Communication|LX 788
22|13|59.03|Express Air|26.92|3.69|Carlos Soltero|Nunavut|Consumer|Office Supplies|Labels|Avery 52
